2018 Advanced Course Completion Report (District)  - Male,,,,,,,,,,,
District Name,District Code,male # Grade 11 and 12 Students,male # Students Completing Advanced,male % Students Completing Advanced,male % ELA,male % Math,male % Science and Technology,male % History and Social Sciences,male % Arts,male % All Other Subjects,male Ch 74 Secondary Cooperative Program
Paulo Freire Social Justice Charter School (District),35010000,          64,          20,  31.3,  15.6,  26.6,   1.6,  12.5,   3.1,   8.0,   0.0
Peabody,02290000,         367,         142,  38.7,   0.0,  29.7,  10.9,  11.2,   0.0,   2.0,   0.0
Pembroke,02310000,         255,         184,  72.2,   6.7,  68.2,  12.9,  22.0,   0.0,  17.0,   0.0
Pentucket,07450000,         160,         111,  69.4,   6.3,  66.3,  23.8,  21.9,   1.3,  13.0,   0.0
Phoenix Academy Public Charter High School Springfield (District),35080000,          12,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Phoenix Charter Academy (District),04930000,          15,           0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0,   0.0
Pioneer Charter School of Science (District),04940000,          38,          24,  63.2,   7.9,  63.2,   7.9,   2.6,   0.0,  13.0,   0.0
Pioneer Charter School of Science II (PCSS-II) (District),35060000,          39,          34,  87.2,  28.2,  76.9,  43.6,  28.2,   0.0,  10.0,   0.0
Pioneer Valley,07500000,          65,          56,  86.2,  16.9,  86.2,  23.1,  36.9,   0.0,  11.0,   0.0
Pioneer Valley Chinese Immersion Charter (District),04970000,          12,          12, 100.0, 100.0, 100.0, 100.0, 100.0,   0.0, 100.0,   0.0
Pioneer Valley Performing Arts Charter Public (District),04790000,          38,          16,  42.1,   2.6,  36.8,   5.3,   2.6,   2.6,   0.0,   0.0
Pittsfield,02360000,         359,         180,  50.1,  18.1,  39.6,  12.8,  14.8,   1.7,  10.0,   1.4
Plymouth,02390000,         588,         395,  67.2,   8.5,  63.3,  21.3,  20.2,   1.4,   7.0,   1.4
Prospect Hill Academy Charter (District),04870000,          64,          57,  89.1,  29.7,  62.5,  32.8,  40.6,   0.0,  31.0,   0.0
Quabbin,07530000,         152,         145,  95.4,  94.7,  51.3,  11.2,  19.1,   5.9,  11.0,   0.0
Quaboag Regional,07780000,          92,          45,  48.9,  29.3,  35.9,  22.8,  25.0,   1.1,   0.0,   0.0
Quincy,02430000,         751,         340,  45.3,  10.0,  41.7,   3.9,  15.8,   0.5,   6.0,   0.0
Ralph C Mahar,07550000,         126,          54,  42.9,   4.8,  30.2,  28.6,   4.8,   0.0,   0.0,   0.0
Randolph,02440000,         178,          77,  43.3,  20.8,  35.4,  20.2,   2.2,   0.0,   8.0,   0.0
Reading,02460000,         300,         179,  59.7,   0.7,  58.7,  19.3,  10.3,   1.3,  13.0,   0.0
Revere,02480000,         492,         324,  65.9,   3.3,  64.8,   7.9,  12.0,   0.0,   4.0,   0.0
Rising Tide Charter Public (District),04830000,          73,          52,  71.2,   0.0,  69.9,  35.6,   0.0,   0.0,   0.0,   0.0
Rockland,02510000,         121,         121, 100.0,  99.2,  94.2,  86.8,  51.2,  30.6,  92.0,   0.0
Rockport,02520000,          74,          52,  70.3,   6.8,  66.2,  25.7,  21.6,   0.0,   0.0,   0.0
Roxbury Preparatory Charter (District),04840000,          34,          34, 100.0, 100.0, 100.0, 100.0,  61.8,   0.0,  38.0,   0.0
Sabis International Charter (District),04410000,         102,          86,  84.3,  22.5,  84.3,  12.7,  24.5,   0.0,   2.0,   0.0
Salem,02580000,         266,          97,  36.5,   8.3,  27.4,  14.7,  23.3,   1.5,   1.0,   0.0
Salem Academy Charter (District),04850000,          48,          41,  85.4,  20.8,  56.3,  41.7,  45.8,   0.0,  13.0,   0.0
Sandwich,02610000,         179,         110,  61.5,   6.7,  55.3,   7.3,  35.8,   0.0,   4.0,   0.0
Saugus,02620000,         144,         144, 100.0,  86.1,  93.1,  66.0,  64.6,  55.6,  98.0,   0.0
Scituate,02640000,         195,         168,  86.2,  33.3,  81.0,  51.3,  18.5,   0.0,  10.0,   0.0
Seekonk,02650000,         129,          77,  59.7,  11.6,  49.6,  31.0,  17.8,   0.0,   0.0,   0.0
Sharon,02660000,         282,         225,  79.8,   4.3,  75.9,  25.5,  45.7,   0.4,  14.0,   0.0
Shawsheen Valley Regional Vocational Technical,08710000,         372,         270,  72.6,  55.1,  71.2,  23.7,  36.0,   0.0,  56.0,  56.2
Shrewsbury,02710000,         383,         336,  87.7,   7.6,  87.7,  30.8,  21.9,   1.6,   3.0,   0.0
Silver Lake,07600000,         303,         176,  58.1,  25.7,  53.1,  18.2,  22.1,   0.3,  18.0,   2.0
Sizer School: A North Central Charter Essential (District),04740000,          34,          11,  32.4,   0.0,  32.4,   0.0,   0.0,   0.0,   0.0,   0.0
Somerset Berkley Regional School District,07630000,         218,         204,  93.6,  59.6,  60.6,  47.2,  60.1,   6.4,  26.0,   0.0
Somerville,02740000,         329,         193,  58.7,  14.9,  54.1,  16.4,  21.9,   0.0,   6.0,   0.0
South Hadley,02780000,         136,          80,  58.8,  23.5,  50.0,  17.6,  20.6,   0.0,   9.0,   0.7
South Middlesex Regional Vocational Technical,08290000,         204,         119,  58.3,  22.1,  51.5,  29.9,  19.6,   0.5,  24.0,  19.6
South Shore Charter Public (District),04880000,          58,          41,  70.7,  17.2,  60.3,  27.6,  13.8,   0.0,   0.0,   0.0
South Shore Regional Vocational Technical,08730000,         211,          94,  44.5,  33.6,  44.1,  33.6,   2.4,   0.0,  34.0,  33.6
Southbridge,02770000,         119,          52,  43.7,   6.7,  42.9,   3.4,   2.5,   0.0,   3.0,   0.0
Southeastern Regional Vocational Technical,08720000,         357,         197,  55.2,  26.3,  52.7,  25.2,  23.8,   0.0,  21.0,  20.7
Southern Berkshire,07650000,          41,          19,  46.3,   0.0,  31.7,  26.8,  12.2,   0.0,   0.0,   0.0
Southern Worcester County Regional Vocational Technical,08760000,         316,         174,  55.1,  40.5,  51.6,  36.1,  35.1,   0.0,  34.0,  33.9
Southwick-Tolland-Granville Regional School District,07660000,         123,          39,  31.7,   3.3,  24.4,  13.8,   4.9,   0.0,   6.0,   2.4
Spencer-E Brookfield,07670000,          81,          62,  76.5,   6.2,  76.5,   3.7,  11.1,   0.0,   0.0,   0.0
Springfield,02810000,"       1,523",         553,  36.3,  13.7,  29.0,   6.5,   6.0,   5.0,   8.0,   2.8
Stoneham,02840000,         140,          94,  67.1,   9.3,  61.4,   6.4,  15.7,   0.0,   9.0,   0.0
Stoughton,02850000,         277,         128,  46.2,   1.8,  45.5,   7.9,   4.7,   0.0,   8.0,   0.0
Sturgis Charter Public (District),04890000,         149,         149, 100.0, 100.0, 100.0,  93.3, 100.0,  21.5,  89.0,   0.0
