2018 Advanced Course Completion Report (District)  - White,,,,,,,,,,
District Name,District Code,#_11_12_student_white,# _advanced_students_white,%_complete_advanced_white,%_ELA_white,%_math_white,%_science_tech_white,%_history_socialscience_white,%_arts_white,%_other_subjects_white
North Adams,02090000,         123,          88,  71.5,  69.1,  32.5,  32.5,  22.0,   0.0,   1.0
North Andover,02110000,         621,         415,  66.8,   8.7,  62.2,  15.3,  31.7,   3.2,   9.0
North Attleborough,02120000,         499,         297,  59.5,  12.4,  55.1,  16.4,  25.3,   0.0,   7.0
North Brookfield,02150000,          62,          37,  59.7,  40.3,  51.6,  12.9,  11.3,   0.0,   0.0
North Middlesex,07350000,         352,         215,  61.1,   0.6,  43.2,  36.1,  10.8,   0.6,   4.0
North Reading,02170000,         363,         246,  67.8,  22.0,  49.0,  28.7,  26.2,   0.0,   3.0
Northampton,02100000,         324,         284,  87.7,  52.5,  78.4,  26.5,  31.8,   0.0,   4.0
Northampton-Smith Vocational Agricultural,04060000,         193,          87,  45.1,  26.9,  41.5,  25.9,  17.6,   0.0,  27.0
Northboro-Southboro,07300000,         584,         380,  65.1,  13.9,  52.7,  14.7,  40.2,   3.6,   7.0
Northbridge,02140000,         258,         161,  62.4,  20.9,  47.7,  24.8,  25.2,   1.6,   9.0
Northeast Metropolitan Regional Vocational Technical,08530000,         374,         296,  79.1,  57.0,  64.4,  45.5,  31.3,   0.0,  44.0
Northern Berkshire Regional Vocational Technical,08510000,         208,         208, 100.0,  78.4,  87.0,  80.3,  83.7,   0.0,  63.0
Norton,02180000,         351,         210,  59.8,   0.0,  56.4,   8.8,  16.0,   0.6,   0.0
Norwell,02190000,         321,         306,  95.3,  20.9,  94.1,  12.5,  48.0,   8.4,  13.0
Norwood,02200000,         345,         343,  99.4,  44.6,  95.4,  57.4,  55.1,  13.3,  47.0
Old Colony Regional Vocational Technical,08550000,         235,         125,  53.2,  32.8,  53.2,  32.8,  19.1,   0.0,  33.0
Old Rochester,07400000,         354,         294,  83.1,  25.4,  77.1,  31.9,  29.1,   1.4,   7.0
Oxford,02260000,         171,         102,  59.6,  22.8,  47.4,   8.8,  20.5,   5.3,   1.0
Palmer,02270000,         168,         121,  72.0,  25.0,  64.3,  35.1,  10.7,   1.2,   2.0
