2017-18 Advanced Placement Performance - All Subjects - Female,,,,,,,,,
District Name,District Code,tests_taken_female,score=1_female,score=2_female,score=3_female,score=4_female,score=5_female,%_score_1-2_female,%_score_3-5_female
Tri-County Regional Vocational Technical,08780000,      66,      18,      27,      16,       4,       1,  68.2,  31.8
Triton,07730000,     163,      23,      38,      52,      32,      18,  37.4,  62.6
Tyngsborough,03010000,      53,       1,      11,      23,      10,       8,  22.6,  77.4
Upper Cape Cod Regional Vocational Technical,08790000,      12,       2,       7,       2,       1,       0,  75.0,  25.0
Uxbridge,03040000,     100,      12,      42,      31,      12,       3,  54.0,  46.0
Wachusett,07750000,     396,      13,      37,     100,     122,     124,  12.6,  87.4
Wakefield,03050000,     214,      12,      69,      62,      46,      25,  37.9,  62.1
Walpole,03070000,     272,      15,      35,      80,      84,      58,  18.4,  81.6
Waltham,03080000,     250,      30,      67,      68,      56,      29,  38.8,  61.2
Ware,03090000,      34,       5,      10,      16,       2,       1,  44.1,  55.9
Wareham,03100000,      77,      21,      28,      23,       5,       0,  63.6,  36.4
Watertown,03140000,     100,       7,      22,      32,      28,      11,  29.0,  71.0
Wayland,03150000,     223,       4,      20,      58,      65,      76,  10.8,  89.2
Webster,03160000,     114,      22,      54,      21,       9,       8,  66.7,  33.3
Wellesley,03170000,     414,       9,      25,      86,     143,     151,   8.2,  91.8
West Boylston,03220000,      46,       6,      22,       8,       7,       3,  60.9,  39.1
West Bridgewater,03230000,     157,      25,      65,      43,      20,       4,  57.3,  42.7
West Springfield,03320000,     226,      39,      80,      58,      34,      15,  52.7,  47.3
Westborough,03210000,     295,      14,      22,      51,     111,      97,  12.2,  87.8
Westfield,03250000,     313,      68,      83,      95,      49,      18,  48.2,  51.8
Westford,03260000,     453,       1,      13,      81,     157,     201,   3.1,  96.9
Weston,03300000,     299,      16,      34,      83,      94,      72,  16.7,  83.3
Westport,03310000,      93,       9,      31,      30,      13,      10,  43.0,  57.0
Westwood,03350000,     414,       7,      36,      99,     130,     142,  10.4,  89.6
Weymouth,03360000,     236,      19,      53,      81,      61,      22,  30.5,  69.5
Whitman-Hanson,07800000,     415,      40,     147,     117,      81,      30,  45.1,  54.9
Wilmington,03420000,     215,      24,      55,      80,      34,      22,  36.7,  63.3
Winchendon,03430000,      86,      22,      30,      21,       7,       6,  60.5,  39.5
Winchester,03440000,     280,       5,      22,      79,      87,      87,   9.6,  90.4
Winthrop,03460000,     159,      83,      36,      22,      12,       6,  74.8,  25.2
Woburn,03470000,     261,      45,      76,      77,      47,      16,  46.4,  53.6
Worcester,03480000,"   1,617",     644,     457,     305,     141,      70,  68.1,  31.9
State Totals,00000000,"  58,491","   8,103","  13,215","  15,259","  12,749","   9,165",  36.4,  63.6
