2017-18 Advanced Placement Performance - All Subjects - All Students,,,,,,,,,
District Name,District Code,tests_taken_all,score=1_all,score=2_all,score=3_all,score=4_all,score=5_all,%_score_1-2_all,%_score_3-5_all
Ralph C Mahar,07550000,      93,      20,      29,      29,      12,       3,  52.7,  47.3
Randolph,02440000,     257,      89,      79,      52,      31,       6,  65.4,  34.6
Reading,02460000,     386,      19,      48,     113,     126,      80,  17.4,  82.6
Revere,02480000,     531,      91,      90,     137,     123,      90,  34.1,  65.9
Rising Tide Charter Public (District),04830000,      59,       3,      17,      19,      13,       7,  33.9,  66.1
Rockland,02510000,     206,      52,      58,      56,      30,      10,  53.4,  46.6
Rockport,02520000,      99,      14,      37,      29,      10,       9,  51.5,  48.5
Roxbury Preparatory Charter (District),04840000,     484,     214,     166,      88,      14,       2,  78.5,  21.5
Sabis International Charter (District),04410000,     112,      18,      49,      20,      22,       3,  59.8,  40.2
Salem,02580000,     322,      99,      67,      89,      50,      17,  51.6,  48.4
Salem Academy Charter (District),04850000,     134,      54,      28,      20,      17,      15,  61.2,  38.8
Sandwich,02610000,     308,      54,      70,      77,      67,      40,  40.3,  59.7
Saugus,02620000,     294,     112,      93,      51,      26,      12,  69.7,  30.3
Scituate,02640000,     505,      46,     126,     154,     119,      60,  34.1,  65.9
Seekonk,02650000,     289,      54,      77,      78,      52,      28,  45.3,  54.7
Sharon,02660000,     703,      10,      41,     123,     227,     302,   7.3,  92.7
Shrewsbury,02710000,     767,      13,      41,     136,     279,     298,   7.0,  93.0
Silver Lake,07600000,     604,      26,     114,     218,     178,      68,  23.2,  76.8
Sizer School: A North Central Charter Essential (District),04740000,       1,,,,,,,
Somerset Berkley Regional School District,07630000,     379,      16,      78,     122,     120,      43,  24.8,  75.2
Somerville,02740000,     558,      90,     147,     149,     101,      71,  42.5,  57.5
South Hadley,02780000,     272,      29,      78,      76,      59,      30,  39.3,  60.7
South Middlesex Regional Vocational Technical,08290000,      65,      11,      29,      14,       7,       4,  61.5,  38.5
South Shore Charter Public (District),04880000,      79,      12,      34,      24,       4,       5,  58.2,  41.8
Southbridge,02770000,      84,      46,      18,      11,       7,       2,  76.2,  23.8
Southeastern Regional Vocational Technical,08720000,     217,     112,      63,      30,      11,       1,  80.6,  19.4
Southern Berkshire,07650000,      42,       7,      10,      13,      10,       2,  40.5,  59.5
Southern Worcester County Regional Vocational Technical,08760000,     144,      32,      48,      40,      14,      10,  55.6,  44.4
Southwick-Tolland-Granville Regional School District,07660000,     143,      32,      54,      34,      19,       4,  60.1,  39.9
Spencer-E Brookfield,07670000,      67,      15,      23,      19,       9,       1,  56.7,  43.3
Springfield,02810000,"   1,061",     530,     265,     178,      58,      30,  74.9,  25.1
Stoneham,02840000,     253,      16,      57,      82,      63,      35,  28.9,  71.1
Stoughton,02850000,     244,      40,      57,     101,      35,      11,  39.8,  60.2
Sutton,02900000,     304,      50,     103,      75,      53,      23,  50.3,  49.7
Swampscott,02910000,     373,      16,      62,     112,     118,      65,  20.9,  79.1
Swansea,02920000,     237,      51,      76,      80,      25,       5,  53.6,  46.4
TEC Connections Academy Commonwealth Virtual School District,39020000,      66,       8,      19,      13,      13,      13,  40.9,  59.1
Tantasqua,07700000,     354,      14,      92,     109,      86,      53,  29.9,  70.1
Taunton,02930000,     582,     149,     184,     148,      72,      29,  57.2,  42.8
Tewksbury,02950000,     322,      35,      67,      91,      68,      61,  31.7,  68.3
Tri-County Regional Vocational Technical,08780000,     128,      21,      51,      35,      14,       7,  56.3,  43.8
Triton,07730000,     269,      34,      63,      78,      56,      38,  36.1,  63.9
Tyngsborough,03010000,     104,       2,      21,      39,      25,      17,  22.1,  77.9
Upper Cape Cod Regional Vocational Technical,08790000,      21,       3,      10,       5,       1,       2,  61.9,  38.1
Uxbridge,03040000,     176,      24,      73,      49,      23,       7,  55.1,  44.9
Wachusett,07750000,     657,      21,      60,     150,     214,     212,  12.3,  87.7
Wakefield,03050000,     364,      17,      98,     111,      83,      55,  31.6,  68.4
Walpole,03070000,     422,      22,      52,     116,     136,      96,  17.5,  82.5
Waltham,03080000,     470,      43,     112,     122,     118,      75,  33.0,  67.0
Ware,03090000,      57,       7,      18,      23,       8,       1,  43.9,  56.1
Wareham,03100000,     153,      40,      56,      36,      14,       7,  62.7,  37.3
Watertown,03140000,     187,      11,      37,      56,      56,      27,  25.7,  74.3
Wayland,03150000,     488,      11,      40,     100,     141,     196,  10.5,  89.5
Webster,03160000,     204,      38,      77,      48,      19,      22,  56.4,  43.6
Wellesley,03170000,     734,      18,      42,     126,     243,     305,   8.2,  91.8
West Boylston,03220000,      82,      13,      32,      14,      15,       8,  54.9,  45.1
West Bridgewater,03230000,     209,      32,      82,      59,      28,       8,  54.5,  45.5
West Springfield,03320000,     373,      54,     124,      98,      62,      35,  47.7,  52.3
Westborough,03210000,     539,      28,      39,      91,     195,     186,  12.4,  87.6
Westfield,03250000,     553,     128,     157,     158,      79,      31,  51.5,  48.5
Westford,03260000,     878,       1,      29,     135,     290,     423,   3.4,  96.6
Weston,03300000,     608,      34,      64,     157,     183,     170,  16.1,  83.9
Westport,03310000,     137,      18,      44,      35,      27,      13,  45.3,  54.7
Westwood,03350000,     671,      11,      49,     159,     206,     246,   8.9,  91.1
Weymouth,03360000,     437,      36,     102,     141,     100,      58,  31.6,  68.4
Whitman-Hanson,07800000,     661,      64,     212,     208,     128,      49,  41.8,  58.2
Wilmington,03420000,     375,      43,      93,     124,      65,      50,  36.3,  63.7
Winchendon,03430000,     119,      30,      42,      27,      10,      10,  60.5,  39.5
Winchester,03440000,     716,      14,      54,     196,     220,     232,   9.5,  90.5
Winthrop,03460000,     263,     117,      53,      54,      22,      17,  64.6,  35.4
Woburn,03470000,     385,      62,     103,     111,      73,      36,  42.9,  57.1
Worcester,03480000,"   2,825","   1,098",     794,     536,     261,     136,  67.0,  33.0
State Totals,00000000," 102,989","  13,737","  21,336","  25,882","  23,307","  18,727",  34.1,  65.9
