2017Staffing Retention Report,,,,,,,,,,
District Name,District Code,Superintendent Total,Superintendent # Retained,Superintendent % Retained,Principal Total,Principal # Retained,Principal % Retained,Teacher Total,Teacher # Retained,Teacher % Retained
Georgetown,01050000,1,1,100.0,       3,       3,100.0,     111,      90,81.1
Gill-Montague,06740000,1,1,100.0,       4,       3,75.0,      90,      75,83.3
Global Learning Charter Public (District),04960000,1,1,100.0,       1,       1,100.0,      45,      31,68.9
Gloucester,01070000,1,1,100.0,       8,       7,87.5,     265,     235,88.7
Gosnold,01090000,1,1,100.0,       1,       1,100.0,       3,       1,33.3
Grafton,01100000,1,1,100.0,       7,       4,57.1,     235,     207,88.1
Granby,01110000,1,0,0.0,       3,       1,33.3,      70,      62,88.6
Greater Fall River Regional Vocational Technical,08210000,1,0,0.0,       1,       1,100.0,     136,     124,91.2
Greater Lawrence Regional Vocational Technical,08230000,1,1,100.0,       1,       1,100.0,     133,     118,88.7
Greater Lowell Regional Vocational Technical,08280000,1,1,100.0,       1,       1,100.0,     175,     167,95.4
Greater New Bedford Regional Vocational Technical,08250000,1,1,100.0,       2,       1,50.0,     204,     190,93.1
Greenfield,01140000,1,0,0.0,       6,       4,66.7,     157,     130,82.8
Groton-Dunstable,06730000,1,1,100.0,       5,       4,80.0,     176,     159,90.3
Hadley,01170000,1,1,100.0,       2,       1,50.0,      52,      42,80.8
Halifax,01180000,1,1,100.0,       1,       1,100.0,      39,      35,89.7
Hamilton-Wenham,06750000,1,1,100.0,       5,       5,100.0,     158,     144,91.1
Hampden Charter School of Science (District),04990000,1,0,0.0,       1,       0,0.0,      44,      27,61.4
Hampden-Wilbraham,06800000,1,0,0.0,       7,       4,57.1,     218,     194,89.0
Hampshire,06830000,1,1,100.0,       1,       1,100.0,      72,      61,84.7
Hancock,01210000,1,0,0.0,       1,       0,0.0,       7,       5,71.4
Hanover,01220000,1,1,100.0,       4,       4,100.0,     213,     192,90.1
Harvard,01250000,1,1,100.0,       2,       1,50.0,      89,      84,94.4
Hatfield,01270000,1,1,100.0,       2,       2,100.0,      45,      44,97.8
Haverhill,01280000,1,1,100.0,      12,      12,100.0,     495,     444,89.7
Hawlemont,06850000,1,1,100.0,       1,       1,100.0,      13,      12,92.3
Helen Y. Davis Leadership Academy Charter Public (District),04190000,1,1,100.0,       1,       1,100.0,      16,       9,56.3
Hill View Montessori Charter Public (District),04550000,1,1,100.0,       1,       1,100.0,      24,      21,87.5
Hilltown Cooperative Charter Public (District),04500000,1,1,100.0,       1,       1,100.0,      23,      22,95.7
