2017-18  Educator Evaluation Performance (District) - All Educators,,,,,,,,
District Name,District Code,# of Educators to be Evaluated,# Evaluated,% Evaluated,% Exemplary,% Proficient,% Needs Improvement,% Unsatisfactory
Southern Worcester County Regional Vocational Technical,8760000,134,127,94.8,11.8,78.7,9.4,0
Southwick-Tolland-Granville Regional School District,7660000,166,163,98.2,23.3,72.4,3.7,0.6
Spencer-E Brookfield,7670000,136,135,99.3,5.2,93.3,1.5,0
Springfield,2810000,"2,336","2,248",96.2,16.6,77.3,4.8,1.2
Springfield Preparatory Charter School (District),35100000,,,,,,,
Stoneham,2840000,244,235,96.3,10.6,86.8,2.6,0
Stoughton,2850000,364,364,100,6.6,90.1,3,0.3
Sturbridge,2870000,81,81,100,16,84,0,0
Sturgis Charter Public (District),4890000,,,,,,,
Sudbury,2880000,260,259,99.6,15.4,84.2,0,0.4
Sunderland,2890000,36,36,100,25,75,0,0
Sutton,2900000,133,130,97.7,6.2,93.1,0.8,0
Swampscott,2910000,233,229,98.3,3.5,95.6,0.9,0
Swansea,2920000,189,182,96.3,7.7,90.1,2.2,0
TEC Connections Academy Commonwealth Virtual School District,39020000,80,80,100,7.5,90,2.5,0
Tantasqua,7700000,172,162,94.2,5.6,94.4,0,0
Taunton,2930000,662,657,99.2,10.5,87.4,1.8,0.3
Tewksbury,2950000,308,307,99.7,2.6,96.1,1,0.3
Tisbury,2960000,60,60,100,16.7,83.3,0,0
Topsfield,2980000,68,68,100,26.5,73.5,0,0
Tri-County Regional Vocational Technical,8780000,111,111,100,26.1,67.6,6.3,0
Triton,7730000,243,243,100,34.6,64.6,0.8,0
Truro,3000000,24,24,100,37.5,54.2,0,8.3
Tyngsborough,3010000,167,167,100,9.6,88.6,1.8,0
UP Academy Charter School of Boston (District),4800000,36,35,97.2,8.6,85.7,5.7,0
UP Academy Charter School of Dorchester (District),35050000,51,48,94.1,16.7,75,8.3,0
Up-Island Regional,7740000,76,76,100,14.5,82.9,2.6,0
Upper Cape Cod Regional Vocational Technical,8790000,82,81,98.8,6.2,92.6,1.2,0
Uxbridge,3040000,156,150,96.2,14.7,82,3.3,0
Veritas Preparatory Charter School (District),4980000,,,,,,,
Wachusett,7750000,549,547,99.6,36.9,61.4,1.6,0
Wakefield,3050000,326,319,97.9,7.5,90,2.5,0
Wales,3060000,19,19,100,,,,
Walpole,3070000,351,351,100,4.8,93.2,1.7,0.3
Waltham,3080000,644,636,98.8,12.1,82.5,4.6,0.8
Ware,3090000,108,105,97.2,10.5,83.8,4.8,1
Wareham,3100000,238,220,92.4,22.3,70.9,5.9,0.9
Watertown,3140000,322,320,99.4,12.8,85.3,1.9,0
Wayland,3150000,284,283,99.6,16.3,82.3,1.4,0
Webster,3160000,163,157,96.3,11.5,87.3,1.3,0
Wellesley,3170000,515,512,99.4,9.8,89.1,1.2,0
