2017-18 Class Size by Gender and Selected Population ,,,,,,,,
District Name,District Code,Number of Classes,Average Class Size,% Class Female,% Class Male,% Class ELL,% Class Disabled,% Class Low Income
Seven Hills Charter Public (District),4860000,222,24.9,48.4,51.6,29.2,15.2,58.5
Sharon,2660000,"1,666",18.1,48.2,51.8,4.4,13.4,7.1
Shawsheen Valley Regional Vocational Technical,8710000,843,16.8,41.7,58.3,0,21.3,14.1
Sherborn,2690000,187,18.7,48.4,51.6,1.6,15.4,4.7
Shrewsbury,2710000,"2,546",20.5,49.9,50,3.7,13.6,9.7
Shutesbury,2720000,60,13.9,56,44,0,16.8,32
Silver Hill Horace Mann Charter (District),4770000,226,22.1,50.5,49.5,6.7,17.4,28.4
Silver Lake,7600000,785,19.1,47.7,52.3,0.3,15.7,15.9
Sizer School: A North Central Charter Essential (District),4740000,229,12.8,48.9,51.1,1.1,24.4,31.7
Somerset,2730000,911,21.6,48.2,51.8,1.2,16.7,21.9
Somerset Berkley Regional School District,7630000,536,15.5,50.9,49.1,0.1,9.9,13.5
Somerville,2740000,"2,056",15.4,46.6,53.3,21.3,20.2,40.8
South Hadley,2780000,673,16.4,50.5,49.5,4.3,15.6,24.5
South Middlesex Regional Vocational Technical,8290000,464,13.7,40.9,59.1,9.7,41.9,38.5
South Shore Charter Public (District),4880000,459,18.1,50.8,49.2,14.1,16.5,15.8
South Shore Regional Vocational Technical,8730000,444,14,33.4,66.6,0,31.5,22.4
Southampton,2750000,185,18.3,48.2,51.8,2.1,21.2,12
Southborough,2760000,481,16.8,49.2,50.8,5.7,16,4.3
Southbridge,2770000,"1,019",17.9,48.9,51.1,26.8,20,68.5
Southeastern Regional Vocational Technical,8720000,719,15.7,48.6,51.4,1.1,15.3,34.1
Southern Berkshire,7650000,506,13.7,48.1,51.9,1.7,14.1,32.3
Southern Worcester County Regional Vocational Technical,8760000,955,14,41.1,58.9,0.2,13,21.7
Southwick-Tolland-Granville Regional School District,7660000,951,15.5,49,51,2.3,16.3,20.9
Spencer-E Brookfield,7670000,582,15.9,46.4,53.5,3.5,23,35.3
Springfield,2810000,"14,794",18.4,47.8,52.2,18,22.6,74.8
Springfield Preparatory Charter School (District),35100000,53,30.4,49.1,50.9,22.9,18.2,67.8
Stoneham,2840000,"1,232",17.5,50.5,49.5,4.1,19.6,16.5
Stoughton,2850000,"2,014",17.2,48,52,5.9,15.7,28
