2017-18 Enrollment By Race/Gender Report (District) ,,,,,,,,,,,
District Name,District Code,enroll_aa,enroll_asian,enroll_hispanic,enroll_white,enroll_native,enroll_islander,enroll_multirace,%_enroll_male,%_enroll_female,enroll_not_white
North Reading,2170000,0.6,3.7,3.2,89.4,0,0.2,2.9,50.1,49.9,10.6
Northampton,2100000,2.6,4.3,16,70.8,0.2,0,6.2,50.2,49.8,29.2
Northampton-Smith Vocational Agricultural,4060000,1.2,0.8,15.5,80.7,0,0,1.8,58,42,19.3
Northboro-Southboro,7300000,1.2,10.7,5.6,79.1,0.3,0.2,2.9,48.3,51.7,20.9
Northborough,2130000,1.9,12.1,7.2,73.9,0.4,0.7,3.9,52,48,26.1
Northbridge,2140000,0.6,0.8,7.9,86.6,0.1,0.1,4,51.4,48.6,13.4
Northeast Metropolitan Regional Vocational Technical,8530000,2.7,1.4,30.3,63.5,0,0.2,1.9,53.5,46.5,36.5
Northern Berkshire Regional Vocational Technical,8510000,0.8,0,1.6,94.1,0.2,0,3.3,62.9,37.1,5.9
Norton,2180000,1.9,2,3.4,88.8,0.2,0.1,3.6,51,49,11.2
Norwell,2190000,0.5,2,1.7,93.3,0,0.2,2.3,51.8,48.2,6.7
